original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name,true_category_name
100,956385671,2522,0.7730246,2522,Fournitures papeterie,Fournitures papeterie
101,1310967888,206,0.61915654,1320,Décoration,Catégorie 1320
102,1312149246,128,0.28047982,1280,Jouets enfant,Catégorie 1280
103,1151792355,194,0.18960898,1320,Épicerie,Catégorie 1320
104,1275289236,222,0.9188217,1920,Animalerie,Catégorie 1920
105,1325276870,5,0.7052913,50,Accessoires gaming,Catégorie 50
106,995103637,5,0.31414,2583,Accessoires gaming,Piscine et accessoires
107,1080807586,114,0.96510726,1160,Objets pop culture,Catégorie 1160
108,1136835035,228,0.8656271,1940,Journaux et revues occasion,Catégorie 1940
109,1107916759,2905,0.8516542,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
110,1324141658,192,0.9337378,1302,Linge de maison,Jeux et accessoires de plein air
111,1244374494,4,0.6454042,2280,Jeux consoles neuf,Catégorie 2280
112,921686399,128,0.43971765,1281,Jouets enfant,Jeux enfant
113,1252627823,2583,0.93971294,2583,Piscine et accessoires,Piscine et accessoires
114,1215331979,2462,0.3815047,1281,Console et Jeux vidéos occasion,Jeux enfant
115,1298033085,1301,0.98088646,2220,Lingerie enfant et jeu de bar,Catégorie 2220
116,1250964055,132,0.9340044,1300,Puériculture,Catégorie 1300
117,1055998245,13,0.9979623,1140,Modélisme,Catégorie 1140
118,1285840447,132,0.20093843,1300,Puériculture,Catégorie 1300
119,1277440408,1,0.7390939,2705,Livres occasion,Livres neufs
120,1300130972,1301,0.10026453,2522,Lingerie enfant et jeu de bar,Fournitures papeterie
121,1277047173,194,0.86897576,1320,Épicerie,Catégorie 1320
122,1105831402,2583,0.95663035,2583,Piscine et accessoires,Piscine et accessoires
123,1307758424,132,0.951454,1300,Puériculture,Catégorie 1300
124,1261174010,2583,0.9862243,2583,Piscine et accessoires,Piscine et accessoires
125,871843520,132,0.6375198,1300,Puériculture,Catégorie 1300
126,1011671634,13,0.9401534,1140,Modélisme,Catégorie 1140
127,1282996118,132,0.9155975,1300,Puériculture,Catégorie 1300
128,1159294199,114,0.9741818,1160,Objets pop culture,Catégorie 1160
129,1026835008,1302,0.9979437,2280,Jeux et accessoires de plein air,Catégorie 2280
130,874048928,114,0.85992587,1160,Objets pop culture,Catégorie 1160
131,1172791556,2583,0.9808983,2583,Piscine et accessoires,Piscine et accessoires
132,1254412949,118,0.35354355,1560,Jeux de rôle et figurines,Catégorie 1560
133,1275253679,222,0.9754149,1920,Animalerie,Catégorie 1920
134,1317036885,1281,0.93251383,2060,Jeux enfant,Catégorie 2060
135,850681891,2522,0.69801,2585,Fournitures papeterie,Outillage de jardin
136,987650006,13,0.47282505,1280,Modélisme,Catégorie 1280
137,1032006528,13,0.5078609,1140,Modélisme,Catégorie 1140
138,1261418279,156,0.99258053,1301,Mobilier,Lingerie enfant et jeu de bar
139,1316295249,6,0.9625818,60,Consoles de jeux,Catégorie 60
140,1007620576,1302,0.84295654,2280,Jeux et accessoires de plein air,Catégorie 2280
141,1075576949,128,0.24483407,2280,Jouets enfant,Catégorie 2280
142,1247153484,4,0.2298579,60,Jeux consoles neuf,Catégorie 60
143,1299224928,194,0.98339105,1560,Épicerie,Catégorie 1560
144,1007363063,1302,0.88129795,2280,Jeux et accessoires de plein air,Catégorie 2280
145,1241674083,132,0.9449367,1280,Puériculture,Catégorie 1280
146,1301541919,132,0.7987086,1300,Puériculture,Catégorie 1300
147,1126747470,114,0.6834383,1160,Objets pop culture,Catégorie 1160
148,1155891418,5,0.84129214,1140,Accessoires gaming,Catégorie 1140
149,1239123173,2582,0.980401,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
150,1118344745,228,0.95731306,1940,Journaux et revues occasion,Catégorie 1940
151,1027157510,1302,0.94045806,2280,Jeux et accessoires de plein air,Catégorie 2280
152,1273755214,222,0.9326859,1920,Animalerie,Catégorie 1920
153,1112118417,2905,0.9677741,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
154,1322842159,192,0.2695974,2220,Linge de maison,Catégorie 2220
155,1307662591,206,0.3084638,1560,Décoration,Catégorie 1560
156,1204264764,1281,0.8518981,2582,Jeux enfant,Mobilier et accessoires de jardin
157,940542437,156,0.759173,2522,Mobilier,Fournitures papeterie
158,1294218273,132,0.8362043,1300,Puériculture,Catégorie 1300
159,1258615713,222,0.82166064,1920,Animalerie,Catégorie 1920
160,1270431962,194,0.2312532,2220,Épicerie,Catégorie 2220
161,1027360524,1302,0.99086505,2280,Jeux et accessoires de plein air,Catégorie 2280
162,1260396763,192,0.957009,1302,Linge de maison,Jeux et accessoires de plein air
163,1265581901,2582,0.5483104,2060,Mobilier et accessoires de jardin,Catégorie 2060
164,847230430,118,0.5568012,1140,Jeux de rôle et figurines,Catégorie 1140
165,1016256803,132,0.9277488,1300,Puériculture,Catégorie 1300
166,940540445,2522,0.9822432,2522,Fournitures papeterie,Fournitures papeterie
167,897161665,2582,0.09927862,10,Mobilier et accessoires de jardin,Catégorie 10
168,1310709125,1281,0.5973701,1560,Jeux enfant,Catégorie 1560
169,1008213724,1302,0.78533053,2280,Jeux et accessoires de plein air,Catégorie 2280
170,1276224774,132,0.82140815,1300,Puériculture,Catégorie 1300
171,1009124758,1,0.94190216,10,Livres occasion,Catégorie 10
172,1204202829,128,0.9406402,1281,Jouets enfant,Jeux enfant
173,1124589260,13,0.57576525,2060,Modélisme,Catégorie 2060
174,1243894704,2905,0.741968,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
175,1251807667,132,0.3537572,2060,Puériculture,Catégorie 2060
176,1261977779,5,0.30217955,2583,Accessoires gaming,Piscine et accessoires
177,1083215475,114,0.94854665,1160,Objets pop culture,Catégorie 1160
178,20410730,4,0.74853486,40,Jeux consoles neuf,Catégorie 40
179,862044384,2522,0.7905787,2522,Fournitures papeterie,Fournitures papeterie
180,1092974872,2403,0.4449675,2403,Lots livres et magazines,Lots livres et magazines
181,977565762,4,0.5470851,40,Jeux consoles neuf,Catégorie 40
182,1264366053,192,0.20549911,2522,Linge de maison,Fournitures papeterie
183,941596078,2403,0.51226526,2280,Lots livres et magazines,Catégorie 2280
184,987567454,118,0.68132925,1300,Jeux de rôle et figurines,Catégorie 1300
185,1190248601,206,0.27121788,2582,Décoration,Mobilier et accessoires de jardin
186,949304463,194,0.64808416,1302,Épicerie,Jeux et accessoires de plein air
187,1316968582,114,0.9888546,1160,Objets pop culture,Catégorie 1160
188,847869772,2585,0.41077664,2585,Outillage de jardin,Outillage de jardin
189,1024976983,192,0.44801372,2583,Linge de maison,Piscine et accessoires
190,1294224395,132,0.93013406,1300,Puériculture,Catégorie 1300
191,1318170067,132,0.4839732,1302,Puériculture,Jeux et accessoires de plein air
192,1046141107,1,0.18661492,1281,Livres occasion,Jeux enfant
193,1253447500,1281,0.6620313,1320,Jeux enfant,Catégorie 1320
194,1323873427,2585,0.32726386,40,Outillage de jardin,Catégorie 40
195,977167259,1281,0.19019796,1140,Jeux enfant,Catégorie 1140
196,1323880641,5,0.8200412,40,Accessoires gaming,Catégorie 40
197,1069756056,2462,0.26431736,2280,Console et Jeux vidéos occasion,Catégorie 2280
198,1232184737,2403,0.609622,2280,Lots livres et magazines,Catégorie 2280
199,1030877001,4,0.23594444,2403,Jeux consoles neuf,Lots livres et magazines
200,1318635439,192,0.30147293,1560,Linge de maison,Catégorie 1560
201,1275214076,222,0.7868406,1920,Animalerie,Catégorie 1920
202,1026796984,1302,0.92183405,2280,Jeux et accessoires de plein air,Catégorie 2280
203,1261172767,2582,0.3071008,2583,Mobilier et accessoires de jardin,Piscine et accessoires
204,1320572160,132,0.37722751,1280,Puériculture,Catégorie 1280
205,1304056011,2522,0.9825302,2522,Fournitures papeterie,Fournitures papeterie
206,1301269195,1281,0.55726075,1920,Jeux enfant,Catégorie 1920
207,1009657546,5,0.61563087,50,Accessoires gaming,Catégorie 50
208,1265606926,2582,0.89881086,1920,Mobilier et accessoires de jardin,Catégorie 1920
209,996283690,1,0.25786376,2403,Livres occasion,Lots livres et magazines
210,996710819,114,0.980436,1160,Objets pop culture,Catégorie 1160
211,1009257395,1302,0.6691276,2280,Jeux et accessoires de plein air,Catégorie 2280
212,1253144609,5,0.1273341,2583,Accessoires gaming,Piscine et accessoires
213,1279094602,222,0.98133296,1920,Animalerie,Catégorie 1920
214,1152792625,13,0.93464345,1140,Modélisme,Catégorie 1140
215,1302475225,2522,0.43456185,2522,Fournitures papeterie,Fournitures papeterie
216,850117989,4,0.23048992,60,Jeux consoles neuf,Catégorie 60
217,1174580660,2583,0.9759959,2583,Piscine et accessoires,Piscine et accessoires
218,1328361818,118,0.75219345,1280,Jeux de rôle et figurines,Catégorie 1280
219,1309972091,132,0.5809653,1300,Puériculture,Catégorie 1300
220,1264224669,1281,0.41955143,1560,Jeux enfant,Catégorie 1560
221,1317261800,5,0.90631765,50,Accessoires gaming,Catégorie 50
222,1195083754,1,0.391317,2403,Livres occasion,Lots livres et magazines
223,989190177,114,0.11272755,1320,Objets pop culture,Catégorie 1320
224,1100072133,2905,0.5909695,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
225,1240109528,128,0.5298756,1281,Jouets enfant,Jeux enfant
226,1005921718,132,0.8252574,1300,Puériculture,Catégorie 1300
227,849102266,1281,0.15066908,2280,Jeux enfant,Catégorie 2280
228,337902159,118,0.88064533,1280,Jeux de rôle et figurines,Catégorie 1280
229,1273837432,132,0.37425473,1300,Puériculture,Catégorie 1300
230,1270220018,2583,0.97697246,2583,Piscine et accessoires,Piscine et accessoires
231,1219603914,206,0.8893469,1560,Décoration,Catégorie 1560
232,1323304183,2582,0.28735292,1302,Mobilier et accessoires de jardin,Jeux et accessoires de plein air
233,891738543,4,0.8672324,40,Jeux consoles neuf,Catégorie 40
234,1265205861,2583,0.83536315,2583,Piscine et accessoires,Piscine et accessoires
235,1270452961,206,0.5685433,1560,Décoration,Catégorie 1560
236,1100503466,6,0.7946372,2462,Consoles de jeux,Console et Jeux vidéos occasion
237,858190256,132,0.6276522,1300,Puériculture,Catégorie 1300
238,1323017168,13,0.26651385,1140,Modélisme,Catégorie 1140
239,1282009891,132,0.9294,1300,Puériculture,Catégorie 1300
240,1269761633,222,0.9721262,1920,Animalerie,Catégorie 1920
241,1228152876,2403,0.6347757,2403,Lots livres et magazines,Lots livres et magazines
242,1264104856,132,0.3612993,2905,Puériculture,Jeux PC en téléchargement
243,1311209702,132,0.90187633,1300,Puériculture,Catégorie 1300
244,1215525914,192,0.31999162,1302,Linge de maison,Jeux et accessoires de plein air
245,1007608665,1302,0.24410424,2280,Jeux et accessoires de plein air,Catégorie 2280
246,900475191,114,0.9267875,1160,Objets pop culture,Catégorie 1160
247,1265192226,2583,0.92495555,2585,Piscine et accessoires,Outillage de jardin
248,1177998220,206,0.9916535,1560,Décoration,Catégorie 1560
249,1206132502,2705,0.93004894,2705,Livres neufs,Livres neufs
250,844661866,132,0.7421342,1300,Puériculture,Catégorie 1300
251,1323081312,206,0.8909888,1560,Décoration,Catégorie 1560
252,873456005,2462,0.888418,40,Console et Jeux vidéos occasion,Catégorie 40
253,1243785549,2583,0.857946,2583,Piscine et accessoires,Piscine et accessoires
254,1324744121,4,0.31762654,2462,Jeux consoles neuf,Console et Jeux vidéos occasion
255,1158571203,2705,0.67416024,2705,Livres neufs,Livres neufs
256,1190248749,2582,0.97753704,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
257,1198775341,2705,0.92195433,2705,Livres neufs,Livres neufs
258,1161969223,2403,0.27050644,2403,Lots livres et magazines,Lots livres et magazines
259,1092257465,2585,0.18753362,2585,Outillage de jardin,Outillage de jardin
260,1204242067,118,0.910935,1280,Jeux de rôle et figurines,Catégorie 1280
261,1298544469,206,0.81808233,1560,Décoration,Catégorie 1560
262,519187671,192,0.3951336,1140,Linge de maison,Catégorie 1140
263,1044041662,13,0.90569514,1140,Modélisme,Catégorie 1140
264,1302529594,118,0.45000973,2522,Jeux de rôle et figurines,Fournitures papeterie
265,1134801794,2522,0.9482808,2522,Fournitures papeterie,Fournitures papeterie
266,1153790876,1,0.68541217,2280,Livres occasion,Catégorie 2280
267,977608205,2705,0.6875433,2705,Livres neufs,Livres neufs
268,1066930659,2583,0.9339132,2583,Piscine et accessoires,Piscine et accessoires
269,1000099971,1,0.4747485,2403,Livres occasion,Lots livres et magazines
270,966222707,2462,0.9141544,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
271,1293351630,118,0.16488703,40,Jeux de rôle et figurines,Catégorie 40
272,1276991968,128,0.8741097,1280,Jouets enfant,Catégorie 1280
273,1239509752,1302,0.22232115,10,Jeux et accessoires de plein air,Catégorie 10
274,1275500984,114,0.9573808,1160,Objets pop culture,Catégorie 1160
275,1273046313,222,0.97586024,1920,Animalerie,Catégorie 1920
276,1275681044,118,0.8017848,1281,Jeux de rôle et figurines,Jeux enfant
277,1161241066,1,0.94466275,10,Livres occasion,Catégorie 10
278,1274078034,1281,0.5624725,2060,Jeux enfant,Catégorie 2060
279,1251499701,222,0.16547926,2060,Animalerie,Catégorie 2060
280,1253625945,5,0.77611786,50,Accessoires gaming,Catégorie 50
281,1138953271,2582,0.45902875,1320,Mobilier et accessoires de jardin,Catégorie 1320
282,1237277732,132,0.32810357,1300,Puériculture,Catégorie 1300
283,1271766402,2583,0.7615813,2583,Piscine et accessoires,Piscine et accessoires
284,1120910261,1281,0.5581475,2583,Jeux enfant,Piscine et accessoires
285,1117509267,194,0.5752929,1920,Épicerie,Catégorie 1920
286,930135009,2403,0.89513546,2403,Lots livres et magazines,Lots livres et magazines
287,1061521199,194,0.9154786,1320,Épicerie,Catégorie 1320
288,1276444359,118,0.2918066,1300,Jeux de rôle et figurines,Catégorie 1300
289,1316209898,6,0.9196009,60,Consoles de jeux,Catégorie 60
290,1047090365,1,0.35558167,10,Livres occasion,Catégorie 10
291,449167930,1302,0.7782867,2280,Jeux et accessoires de plein air,Catégorie 2280
292,1201834796,128,0.384625,1281,Jouets enfant,Jeux enfant
293,1243171733,2905,0.944985,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
294,956379388,2522,0.9158969,2522,Fournitures papeterie,Fournitures papeterie
295,1027001330,1302,0.87159574,2280,Jeux et accessoires de plein air,Catégorie 2280
296,1281736054,118,0.29100987,1280,Jeux de rôle et figurines,Catégorie 1280
297,1223913788,2462,0.18182878,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
298,1201830987,128,0.30338717,1281,Jouets enfant,Jeux enfant
299,1058870496,13,0.16059281,2705,Modélisme,Livres neufs
300,1145354590,128,0.62762845,1280,Jouets enfant,Catégorie 1280
301,1255757295,2583,0.6855882,2583,Piscine et accessoires,Piscine et accessoires
302,1268895411,118,0.98511434,1280,Jeux de rôle et figurines,Catégorie 1280
303,1323082583,1281,0.6993448,2060,Jeux enfant,Catégorie 2060
304,1282859568,206,0.5054356,1560,Décoration,Catégorie 1560
305,1286995827,132,0.95831376,1300,Puériculture,Catégorie 1300
306,1100062590,2905,0.964096,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
307,1066930685,2583,0.9339132,2583,Piscine et accessoires,Piscine et accessoires
308,1050684896,2582,0.7980205,1560,Mobilier et accessoires de jardin,Catégorie 1560
309,1313681889,132,0.89048725,1300,Puériculture,Catégorie 1300
310,1023016297,192,0.2703843,1280,Linge de maison,Catégorie 1280
311,1262866865,222,0.99736995,1920,Animalerie,Catégorie 1920
312,1026916306,1302,0.81058645,2280,Jeux et accessoires de plein air,Catégorie 2280
313,1003226405,194,0.84408313,1320,Épicerie,Catégorie 1320
314,1289062858,1281,0.99532866,2060,Jeux enfant,Catégorie 2060
315,587640234,4,0.9354646,40,Jeux consoles neuf,Catégorie 40
316,1223582839,206,0.88459694,1560,Décoration,Catégorie 1560
317,1304029599,132,0.85750633,1300,Puériculture,Catégorie 1300
318,995102714,2582,0.5652347,2583,Mobilier et accessoires de jardin,Piscine et accessoires
319,1158121288,2583,0.26308617,2583,Piscine et accessoires,Piscine et accessoires
320,1120437410,114,0.98649174,1160,Objets pop culture,Catégorie 1160
321,1131804483,2522,0.7597014,2522,Fournitures papeterie,Fournitures papeterie
322,1240993281,1302,0.9216676,2403,Jeux et accessoires de plein air,Lots livres et magazines
323,858622977,2403,0.36461893,2280,Lots livres et magazines,Catégorie 2280
324,862580398,228,0.81569195,2522,Journaux et revues occasion,Fournitures papeterie
325,1065446271,2705,0.7380524,2705,Livres neufs,Livres neufs
326,1257233893,1281,0.8869227,2060,Jeux enfant,Catégorie 2060
327,1144313004,5,0.44874465,2522,Accessoires gaming,Fournitures papeterie
328,1026147101,132,0.2626693,1140,Puériculture,Catégorie 1140
329,1109423790,2585,0.59461725,2585,Outillage de jardin,Outillage de jardin
330,1191144167,1281,0.2726895,1560,Jeux enfant,Catégorie 1560
331,1109239042,2583,0.9280074,2583,Piscine et accessoires,Piscine et accessoires
332,1123815783,2705,0.8464564,2705,Livres neufs,Livres neufs
333,1046140130,2522,0.4764811,2403,Fournitures papeterie,Lots livres et magazines
334,757081497,4,0.57556415,40,Jeux consoles neuf,Catégorie 40
335,1255761203,222,0.96089536,1920,Animalerie,Catégorie 1920
336,941678458,2583,0.845149,2583,Piscine et accessoires,Piscine et accessoires
337,1128350148,1302,0.7425139,2403,Jeux et accessoires de plein air,Lots livres et magazines
338,1258615799,192,0.99316525,1280,Linge de maison,Catégorie 1280
339,1278861300,222,0.176723,1320,Animalerie,Catégorie 1320
340,1321887696,5,0.46193853,2582,Accessoires gaming,Mobilier et accessoires de jardin
341,876261633,1,0.7099636,2280,Livres occasion,Catégorie 2280
342,1120188407,2583,0.95026267,2583,Piscine et accessoires,Piscine et accessoires
343,1304091947,2522,0.8503863,2522,Fournitures papeterie,Fournitures papeterie
344,1298038010,1301,0.9619255,2220,Lingerie enfant et jeu de bar,Catégorie 2220
345,1273766117,222,0.9790925,1920,Animalerie,Catégorie 1920
346,1026033977,2522,0.9650894,2522,Fournitures papeterie,Fournitures papeterie
347,1225886460,2583,0.83119273,2583,Piscine et accessoires,Piscine et accessoires
348,1008006913,2705,0.6529607,2280,Livres neufs,Catégorie 2280
349,1260499611,1281,0.63563067,1560,Jeux enfant,Catégorie 1560
350,1099079539,2582,0.56154615,1920,Mobilier et accessoires de jardin,Catégorie 1920
351,1089461994,206,0.7875776,1560,Décoration,Catégorie 1560
352,1311318989,2522,0.9273605,1280,Fournitures papeterie,Catégorie 1280
353,1299324515,1,0.46825436,10,Livres occasion,Catégorie 10
354,1299826670,1,0.12928264,1560,Livres occasion,Catégorie 1560
355,1281058968,1302,0.1937975,2403,Jeux et accessoires de plein air,Lots livres et magazines
356,1289801485,132,0.317429,1300,Puériculture,Catégorie 1300
357,1242019834,2583,0.50964934,2583,Piscine et accessoires,Piscine et accessoires
358,717853644,114,0.2481792,1160,Objets pop culture,Catégorie 1160
359,1188538915,2583,0.98363495,2583,Piscine et accessoires,Piscine et accessoires
360,1304082194,2522,0.963948,2522,Fournitures papeterie,Fournitures papeterie
361,980304626,2583,0.78117007,2583,Piscine et accessoires,Piscine et accessoires
362,948580134,4,0.49832028,40,Jeux consoles neuf,Catégorie 40
363,1190252043,2583,0.36125433,2583,Piscine et accessoires,Piscine et accessoires
364,1168889313,194,0.39467463,1320,Épicerie,Catégorie 1320
365,1301843440,116,0.92749715,1180,Cartes de jeux,Catégorie 1180
366,1247693430,206,0.2630342,1560,Décoration,Catégorie 1560
367,1301172218,4,0.80719376,2522,Jeux consoles neuf,Fournitures papeterie
368,1279462864,2583,0.39116147,2583,Piscine et accessoires,Piscine et accessoires
369,1237400663,2705,0.49315047,2705,Livres neufs,Livres neufs
370,1192113361,228,0.9608774,1320,Journaux et revues occasion,Catégorie 1320
371,1272879358,2522,0.8514856,1320,Fournitures papeterie,Catégorie 1320
372,1270591478,2585,0.984686,2585,Outillage de jardin,Outillage de jardin
373,1265375939,2582,0.77202594,2585,Mobilier et accessoires de jardin,Outillage de jardin
374,1020510428,2705,0.6100094,2705,Livres neufs,Livres neufs
375,1295144469,1,0.13119489,10,Livres occasion,Catégorie 10
376,1007371800,1302,0.93322945,2280,Jeux et accessoires de plein air,Catégorie 2280
377,1264207826,222,0.6211858,1560,Animalerie,Catégorie 1560
