original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name,true_category_name
39,1291663578,2060,0.95556143,2060,Catégorie 2060,Catégorie 2060
40,932675768,1140,0.70617332,1140,Catégorie 1140,Catégorie 1140
41,1301523619,1300,0.98817856,1300,Catégorie 1300,Catégorie 1300
42,1262760513,2705,0.83603965,2705,Livres neufs,Livres neufs
43,866758230,1140,0.48768052,1140,Catégorie 1140,Catégorie 1140
44,1190256254,2582,0.92933208,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
45,1310883418,50,0.98591677,50,Catégorie 50,Catégorie 50
46,1225683213,1140,0.89180043,1140,Catégorie 1140,Catégorie 1140
47,1158120765,1302,0.26309476,2583,Jeux et accessoires de plein air,Piscine et accessoires
48,1121368999,1940,0.99967473,1940,Catégorie 1940,Catégorie 1940
49,1284142748,1280,0.95612554,1280,Catégorie 1280,Catégorie 1280
50,933259092,40,0.9914162,40,Catégorie 40,Catégorie 40
51,1108332411,2705,0.99282855,2705,Livres neufs,Livres neufs
52,1301335224,1560,0.67414992,1560,Catégorie 1560,Catégorie 1560
53,1203055707,2403,0.98370702,2403,Lots livres et magazines,Lots livres et magazines
54,922483907,2582,0.91938553,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
55,866315136,1160,0.80662978,1160,Catégorie 1160,Catégorie 1160
56,1276016429,1302,0.86910738,1302,Jeux et accessoires de plein air,Jeux et accessoires de plein air
57,1316285562,60,0.99922561,60,Catégorie 60,Catégorie 60
58,1236087582,2905,0.98446353,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
59,940879899,40,0.77623688,40,Catégorie 40,Catégorie 40
60,1066598452,2705,0.49994762,2583,Livres neufs,Piscine et accessoires
61,1091941558,2403,0.99534578,2403,Lots livres et magazines,Lots livres et magazines
62,1157516276,1281,0.57281104,1281,Jeux enfant,Jeux enfant
63,1298544163,1560,0.80372282,1560,Catégorie 1560,Catégorie 1560
64,980535620,2583,0.99855641,2583,Piscine et accessoires,Piscine et accessoires
65,1265214372,2583,0.99285919,2583,Piscine et accessoires,Piscine et accessoires
66,1263898160,1920,0.96514063,1920,Catégorie 1920,Catégorie 1920
67,1289167822,2060,0.98468722,2060,Catégorie 2060,Catégorie 2060
68,1296360852,2060,0.41728592,2585,Catégorie 2060,Outillage de jardin
69,1283612253,1320,0.99212699,1320,Catégorie 1320,Catégorie 1320
70,1323457601,2060,0.95258091,1920,Catégorie 2060,Catégorie 1920
71,1232556308,2583,0.99844925,2583,Piscine et accessoires,Piscine et accessoires
72,1318903404,1920,0.95150419,1920,Catégorie 1920,Catégorie 1920
73,1266656431,2705,0.94552553,2705,Livres neufs,Livres neufs
74,1080024633,2705,0.82148105,2280,Livres neufs,Catégorie 2280
75,1192175534,1320,0.92904767,1320,Catégorie 1320,Catégorie 1320
76,941693658,2583,0.99912041,2583,Piscine et accessoires,Piscine et accessoires
77,1174585976,2583,0.78139533,2583,Piscine et accessoires,Piscine et accessoires
78,1270324029,2522,0.99928539,2522,Fournitures papeterie,Fournitures papeterie
79,1076213333,2462,0.90566315,40,Console et Jeux vidéos occasion,Catégorie 40
80,1176505239,2583,0.99782188,2583,Piscine et accessoires,Piscine et accessoires
81,1294540292,10,0.27883201,10,Catégorie 10,Catégorie 10
82,1211890393,1560,0.97988557,1560,Catégorie 1560,Catégorie 1560
83,774653561,2280,0.43162726,2280,Catégorie 2280,Catégorie 2280
84,1152121081,2522,0.97926569,2522,Fournitures papeterie,Fournitures papeterie
85,1250963245,1300,0.97167947,1300,Catégorie 1300,Catégorie 1300
86,1259021038,1920,0.96320369,1920,Catégorie 1920,Catégorie 1920
87,1132388545,1300,0.99997202,1300,Catégorie 1300,Catégorie 1300
88,956575187,1160,0.99976072,1160,Catégorie 1160,Catégorie 1160
89,1041726930,2403,0.79794022,2403,Lots livres et magazines,Lots livres et magazines
90,1136604757,10,0.41242171,2403,Catégorie 10,Lots livres et magazines
91,1268782890,1300,0.89826172,1280,Catégorie 1300,Catégorie 1280
92,1176505273,2583,0.81828559,2583,Piscine et accessoires,Piscine et accessoires
93,1104739801,1560,0.56022434,1560,Catégorie 1560,Catégorie 1560
94,441334779,1301,0.99948111,1301,Lingerie enfant et jeu de bar,Lingerie enfant et jeu de bar
95,958144254,2462,0.97876007,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
96,1264761495,1560,0.66626408,1560,Catégorie 1560,Catégorie 1560
97,996054394,2522,0.99666196,2522,Fournitures papeterie,Fournitures papeterie
98,1096635484,1301,0.9991019,1301,Lingerie enfant et jeu de bar,Lingerie enfant et jeu de bar
99,1301639236,2582,0.90883613,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
100,956385671,2522,0.99688428,2522,Fournitures papeterie,Fournitures papeterie
101,1310967888,1320,0.54629316,1320,Catégorie 1320,Catégorie 1320
102,1312149246,2220,0.87718989,1280,Catégorie 2220,Catégorie 1280
103,1151792355,1920,0.97020031,1320,Catégorie 1920,Catégorie 1320
104,1275289236,1920,0.97427263,1920,Catégorie 1920,Catégorie 1920
105,1325276870,50,0.99660993,50,Catégorie 50,Catégorie 50
106,995103637,2583,0.99934124,2583,Piscine et accessoires,Piscine et accessoires
107,1080807586,1160,0.99573144,1160,Catégorie 1160,Catégorie 1160
108,1136835035,1940,0.99990877,1940,Catégorie 1940,Catégorie 1940
109,1107916759,1280,0.24816906,2905,Catégorie 1280,Jeux PC en téléchargement
110,1324141658,1302,0.99938989,1302,Jeux et accessoires de plein air,Jeux et accessoires de plein air
111,1244374494,2522,0.72864156,2280,Fournitures papeterie,Catégorie 2280
112,921686399,1281,0.97420291,1281,Jeux enfant,Jeux enfant
113,1252627823,2583,0.99999603,2583,Piscine et accessoires,Piscine et accessoires
114,1215331979,1281,0.85506175,1281,Jeux enfant,Jeux enfant
115,1298033085,2220,0.99996105,2220,Catégorie 2220,Catégorie 2220
116,1250964055,1300,0.98836515,1300,Catégorie 1300,Catégorie 1300
117,1055998245,1140,0.92243865,1140,Catégorie 1140,Catégorie 1140
118,1285840447,1300,0.97421999,1300,Catégorie 1300,Catégorie 1300
119,1277440408,10,0.40261514,2705,Catégorie 10,Livres neufs
120,1300130972,2522,0.95877272,2522,Fournitures papeterie,Fournitures papeterie
121,1277047173,1320,0.99639242,1320,Catégorie 1320,Catégorie 1320
122,1105831402,2583,0.99997124,2583,Piscine et accessoires,Piscine et accessoires
123,1307758424,1300,0.80344089,1300,Catégorie 1300,Catégorie 1300
124,1261174010,2583,0.99881386,2583,Piscine et accessoires,Piscine et accessoires
125,871843520,1300,0.87336814,1300,Catégorie 1300,Catégorie 1300
126,1011671634,1140,0.75747977,1140,Catégorie 1140,Catégorie 1140
127,1282996118,1300,0.99975236,1300,Catégorie 1300,Catégorie 1300
128,1159294199,1160,0.99438677,1160,Catégorie 1160,Catégorie 1160
129,1026835008,2280,0.85460935,2280,Catégorie 2280,Catégorie 2280
130,874048928,1160,0.8507015,1160,Catégorie 1160,Catégorie 1160
131,1172791556,2583,0.99580344,2583,Piscine et accessoires,Piscine et accessoires
132,1254412949,1560,0.9630215,1560,Catégorie 1560,Catégorie 1560
133,1275253679,1920,0.99775435,1920,Catégorie 1920,Catégorie 1920
134,1317036885,2060,0.94227167,2060,Catégorie 2060,Catégorie 2060
135,850681891,2585,0.99637764,2585,Outillage de jardin,Outillage de jardin
136,987650006,1140,0.31810038,1280,Catégorie 1140,Catégorie 1280
137,1032006528,1140,0.78455172,1140,Catégorie 1140,Catégorie 1140
138,1261418279,1301,0.99989466,1301,Lingerie enfant et jeu de bar,Lingerie enfant et jeu de bar
139,1316295249,60,0.99988276,60,Catégorie 60,Catégorie 60
140,1007620576,2280,0.98858265,2280,Catégorie 2280,Catégorie 2280
141,1075576949,10,0.80215583,2280,Catégorie 10,Catégorie 2280
142,1247153484,60,0.93299632,60,Catégorie 60,Catégorie 60
143,1299224928,2060,0.3749309,1560,Catégorie 2060,Catégorie 1560
144,1007363063,2280,0.71648896,2280,Catégorie 2280,Catégorie 2280
145,1241674083,1300,0.41362223,1280,Catégorie 1300,Catégorie 1280
146,1301541919,1300,0.98686003,1300,Catégorie 1300,Catégorie 1300
147,1126747470,1160,0.9998247,1160,Catégorie 1160,Catégorie 1160
148,1155891418,1140,0.84278946,1140,Catégorie 1140,Catégorie 1140
149,1239123173,2582,0.97980889,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
150,1118344745,1940,0.99883,1940,Catégorie 1940,Catégorie 1940
151,1027157510,2280,0.94235983,2280,Catégorie 2280,Catégorie 2280
152,1273755214,1920,0.9804495,1920,Catégorie 1920,Catégorie 1920
153,1112118417,2905,0.99999999,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
154,1322842159,2220,0.99875682,2220,Catégorie 2220,Catégorie 2220
155,1307662591,1560,0.94333466,1560,Catégorie 1560,Catégorie 1560
156,1204264764,2582,0.43106429,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
157,940542437,2522,0.98837326,2522,Fournitures papeterie,Fournitures papeterie
158,1294218273,1300,0.99999637,1300,Catégorie 1300,Catégorie 1300
159,1258615713,1920,0.96269874,1920,Catégorie 1920,Catégorie 1920
160,1270431962,2220,0.72020837,2220,Catégorie 2220,Catégorie 2220
161,1027360524,2280,0.93141732,2280,Catégorie 2280,Catégorie 2280
162,1260396763,1302,0.99577644,1302,Jeux et accessoires de plein air,Jeux et accessoires de plein air
163,1265581901,2582,0.9328548,2060,Mobilier et accessoires de jardin,Catégorie 2060
164,847230430,1280,0.3695674,1140,Catégorie 1280,Catégorie 1140
165,1016256803,1300,0.91009182,1300,Catégorie 1300,Catégorie 1300
166,940540445,2522,0.9994608,2522,Fournitures papeterie,Fournitures papeterie
167,897161665,2280,0.28903796,10,Catégorie 2280,Catégorie 10
168,1310709125,2060,0.73602141,1560,Catégorie 2060,Catégorie 1560
169,1008213724,2705,0.55455799,2280,Livres neufs,Catégorie 2280
170,1276224774,1300,0.9773465,1300,Catégorie 1300,Catégorie 1300
171,1009124758,10,0.40917771,10,Catégorie 10,Catégorie 10
172,1204202829,1281,0.73543231,1281,Jeux enfant,Jeux enfant
173,1124589260,1140,0.40171348,2060,Catégorie 1140,Catégorie 2060
174,1243894704,1281,0.32537596,2905,Jeux enfant,Jeux PC en téléchargement
175,1251807667,1302,0.54357516,2060,Jeux et accessoires de plein air,Catégorie 2060
176,1261977779,2583,0.8048397,2583,Piscine et accessoires,Piscine et accessoires
177,1083215475,1160,0.9993091,1160,Catégorie 1160,Catégorie 1160
178,20410730,2705,0.65240039,40,Livres neufs,Catégorie 40
179,862044384,2522,0.99990345,2522,Fournitures papeterie,Fournitures papeterie
180,1092974872,2280,0.362299,2403,Catégorie 2280,Lots livres et magazines
181,977565762,10,0.2516952,40,Catégorie 10,Catégorie 40
182,1264366053,2522,0.99366125,2522,Fournitures papeterie,Fournitures papeterie
183,941596078,2280,0.43181672,2280,Catégorie 2280,Catégorie 2280
184,987567454,1300,0.95845395,1300,Catégorie 1300,Catégorie 1300
185,1190248601,2582,0.86913551,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
186,949304463,1302,0.6460846,1302,Jeux et accessoires de plein air,Jeux et accessoires de plein air
187,1316968582,1160,0.99978571,1160,Catégorie 1160,Catégorie 1160
188,847869772,2585,0.99924155,2585,Outillage de jardin,Outillage de jardin
189,1024976983,1302,0.9454609,2583,Jeux et accessoires de plein air,Piscine et accessoires
190,1294224395,1300,0.99999555,1300,Catégorie 1300,Catégorie 1300
191,1318170067,10,0.20424971,1302,Catégorie 10,Jeux et accessoires de plein air
192,1046141107,1281,0.63194523,1281,Jeux enfant,Jeux enfant
193,1253447500,1320,0.94589767,1320,Catégorie 1320,Catégorie 1320
194,1323873427,50,0.90452851,40,Catégorie 50,Catégorie 40
195,977167259,1140,0.97555348,1140,Catégorie 1140,Catégorie 1140
196,1323880641,50,0.92152324,40,Catégorie 50,Catégorie 40
197,1069756056,2280,0.42941637,2280,Catégorie 2280,Catégorie 2280
198,1232184737,40,0.39207677,2280,Catégorie 40,Catégorie 2280
199,1030877001,2403,0.94318242,2403,Lots livres et magazines,Lots livres et magazines
200,1318635439,1320,0.86295768,1560,Catégorie 1320,Catégorie 1560
201,1275214076,1920,0.89832404,1920,Catégorie 1920,Catégorie 1920
202,1026796984,2280,0.71234379,2280,Catégorie 2280,Catégorie 2280
203,1261172767,2583,0.99155985,2583,Piscine et accessoires,Piscine et accessoires
204,1320572160,2585,0.20164875,1280,Outillage de jardin,Catégorie 1280
205,1304056011,2522,0.99402508,2522,Fournitures papeterie,Fournitures papeterie
206,1301269195,1920,0.93190976,1920,Catégorie 1920,Catégorie 1920
207,1009657546,50,0.71390036,50,Catégorie 50,Catégorie 50
208,1265606926,1920,0.67015552,1920,Catégorie 1920,Catégorie 1920
209,996283690,2403,0.99945038,2403,Lots livres et magazines,Lots livres et magazines
210,996710819,10,0.2048931,1160,Catégorie 10,Catégorie 1160
211,1009257395,2280,0.82587944,2280,Catégorie 2280,Catégorie 2280
212,1253144609,2583,0.99826473,2583,Piscine et accessoires,Piscine et accessoires
213,1279094602,1920,0.98127626,1920,Catégorie 1920,Catégorie 1920
214,1152792625,1140,0.99482641,1140,Catégorie 1140,Catégorie 1140
215,1302475225,2522,0.99955198,2522,Fournitures papeterie,Fournitures papeterie
216,850117989,40,0.41285567,60,Catégorie 40,Catégorie 60
217,1174580660,2583,0.99760496,2583,Piscine et accessoires,Piscine et accessoires
218,1328361818,1280,0.78755484,1280,Catégorie 1280,Catégorie 1280
219,1309972091,1300,0.92618017,1300,Catégorie 1300,Catégorie 1300
220,1264224669,1560,0.97624692,1560,Catégorie 1560,Catégorie 1560
221,1317261800,50,0.95638812,50,Catégorie 50,Catégorie 50
222,1195083754,2403,0.45998535,2403,Lots livres et magazines,Lots livres et magazines
223,989190177,1320,0.68859058,1320,Catégorie 1320,Catégorie 1320
224,1100072133,2905,0.99999985,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
225,1240109528,1281,0.96676085,1281,Jeux enfant,Jeux enfant
226,1005921718,1300,0.99222631,1300,Catégorie 1300,Catégorie 1300
227,849102266,2403,0.31363169,2280,Lots livres et magazines,Catégorie 2280
228,337902159,1280,0.75853522,1280,Catégorie 1280,Catégorie 1280
229,1273837432,1300,0.99998514,1300,Catégorie 1300,Catégorie 1300
230,1270220018,2583,0.99996105,2583,Piscine et accessoires,Piscine et accessoires
231,1219603914,1560,0.97954889,1560,Catégorie 1560,Catégorie 1560
232,1323304183,2585,0.40004127,1302,Outillage de jardin,Jeux et accessoires de plein air
233,891738543,40,0.9934423,40,Catégorie 40,Catégorie 40
234,1265205861,2583,0.99997457,2583,Piscine et accessoires,Piscine et accessoires
235,1270452961,2583,0.85107631,1560,Piscine et accessoires,Catégorie 1560
236,1100503466,50,0.51462909,2462,Catégorie 50,Console et Jeux vidéos occasion
237,858190256,1160,0.27493858,1300,Catégorie 1160,Catégorie 1300
238,1323017168,1140,0.62750882,1140,Catégorie 1140,Catégorie 1140
239,1282009891,1300,0.98764749,1300,Catégorie 1300,Catégorie 1300
240,1269761633,1920,0.98116754,1920,Catégorie 1920,Catégorie 1920
241,1228152876,2403,0.84567996,2403,Lots livres et magazines,Lots livres et magazines
242,1264104856,2905,0.99177403,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
243,1311209702,1300,0.82178899,1300,Catégorie 1300,Catégorie 1300
244,1215525914,1302,0.3158204,1302,Jeux et accessoires de plein air,Jeux et accessoires de plein air
245,1007608665,2280,0.9925598,2280,Catégorie 2280,Catégorie 2280
246,900475191,1160,0.99941282,1160,Catégorie 1160,Catégorie 1160
247,1265192226,2585,0.97620872,2585,Outillage de jardin,Outillage de jardin
248,1177998220,1560,0.7818613,1560,Catégorie 1560,Catégorie 1560
249,1206132502,10,0.90891394,2705,Catégorie 10,Livres neufs
250,844661866,10,0.25134097,1300,Catégorie 10,Catégorie 1300
251,1323081312,1560,0.94345009,1560,Catégorie 1560,Catégorie 1560
252,873456005,1160,0.99350437,40,Catégorie 1160,Catégorie 40
253,1243785549,2583,0.99984813,2583,Piscine et accessoires,Piscine et accessoires
254,1324744121,2462,0.50290288,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
255,1158571203,2705,0.48387226,2705,Livres neufs,Livres neufs
256,1190248749,2582,0.95804656,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
257,1198775341,10,0.12259935,2705,Catégorie 10,Livres neufs
258,1161969223,2403,0.99506134,2403,Lots livres et magazines,Lots livres et magazines
259,1092257465,10,0.35760452,2585,Catégorie 10,Outillage de jardin
260,1204242067,1280,0.73577308,1280,Catégorie 1280,Catégorie 1280
261,1298544469,1560,0.98389283,1560,Catégorie 1560,Catégorie 1560
262,519187671,1140,0.98382004,1140,Catégorie 1140,Catégorie 1140
263,1044041662,1140,0.7731189,1140,Catégorie 1140,Catégorie 1140
264,1302529594,2522,0.99294172,2522,Fournitures papeterie,Fournitures papeterie
265,1134801794,2522,0.99955198,2522,Fournitures papeterie,Fournitures papeterie
266,1153790876,10,0.42473266,2280,Catégorie 10,Catégorie 2280
267,977608205,2705,0.99198872,2705,Livres neufs,Livres neufs
268,1066930659,2583,0.99945593,2583,Piscine et accessoires,Piscine et accessoires
269,1000099971,2403,0.98327074,2403,Lots livres et magazines,Lots livres et magazines
270,966222707,2462,0.97229264,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
271,1293351630,40,0.6935741,40,Catégorie 40,Catégorie 40
272,1276991968,1280,0.73727734,1280,Catégorie 1280,Catégorie 1280
273,1239509752,10,0.91897786,10,Catégorie 10,Catégorie 10
274,1275500984,1160,0.99932877,1160,Catégorie 1160,Catégorie 1160
275,1273046313,1920,0.99432179,1920,Catégorie 1920,Catégorie 1920
276,1275681044,1280,0.58896142,1281,Catégorie 1280,Jeux enfant
277,1161241066,10,0.96995432,10,Catégorie 10,Catégorie 10
278,1274078034,2060,0.91419335,2060,Catégorie 2060,Catégorie 2060
279,1251499701,2060,0.96712987,2060,Catégorie 2060,Catégorie 2060
280,1253625945,50,0.94501176,50,Catégorie 50,Catégorie 50
281,1138953271,2582,0.83997216,1320,Mobilier et accessoires de jardin,Catégorie 1320
282,1237277732,1300,0.81521654,1300,Catégorie 1300,Catégorie 1300
283,1271766402,2583,0.99635857,2583,Piscine et accessoires,Piscine et accessoires
284,1120910261,2583,0.9488957,2583,Piscine et accessoires,Piscine et accessoires
285,1117509267,1920,0.89563997,1920,Catégorie 1920,Catégorie 1920
286,930135009,2403,0.99974228,2403,Lots livres et magazines,Lots livres et magazines
287,1061521199,1320,0.97524317,1320,Catégorie 1320,Catégorie 1320
288,1276444359,1300,0.99785026,1300,Catégorie 1300,Catégorie 1300
289,1316209898,60,0.99982756,60,Catégorie 60,Catégorie 60
290,1047090365,2705,0.45268203,10,Livres neufs,Catégorie 10
291,449167930,2280,0.98850375,2280,Catégorie 2280,Catégorie 2280
292,1201834796,1281,0.44995728,1281,Jeux enfant,Jeux enfant
293,1243171733,2905,0.99999998,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
294,956379388,2522,0.99934043,2522,Fournitures papeterie,Fournitures papeterie
295,1027001330,2280,0.93473341,2280,Catégorie 2280,Catégorie 2280
296,1281736054,1281,0.66284461,1280,Jeux enfant,Catégorie 1280
297,1223913788,2462,0.98972021,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
298,1201830987,1281,0.62942676,1281,Jeux enfant,Jeux enfant
299,1058870496,10,0.31763192,2705,Catégorie 10,Livres neufs
300,1145354590,1302,0.84772096,1280,Jeux et accessoires de plein air,Catégorie 1280
301,1255757295,2583,0.99998832,2583,Piscine et accessoires,Piscine et accessoires
302,1268895411,1280,0.94778552,1280,Catégorie 1280,Catégorie 1280
303,1323082583,2060,0.73681802,2060,Catégorie 2060,Catégorie 2060
304,1282859568,1560,0.97219646,1560,Catégorie 1560,Catégorie 1560
305,1286995827,1300,0.99974653,1300,Catégorie 1300,Catégorie 1300
306,1100062590,2905,0.99926029,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
307,1066930685,2583,0.99945586,2583,Piscine et accessoires,Piscine et accessoires
308,1050684896,1560,0.78208136,1560,Catégorie 1560,Catégorie 1560
309,1313681889,1300,0.98242978,1300,Catégorie 1300,Catégorie 1300
310,1023016297,10,0.20685926,1280,Catégorie 10,Catégorie 1280
311,1262866865,1920,0.97405072,1920,Catégorie 1920,Catégorie 1920
312,1026916306,2280,0.90019192,2280,Catégorie 2280,Catégorie 2280
313,1003226405,1320,0.95128823,1320,Catégorie 1320,Catégorie 1320
314,1289062858,2060,0.97459178,2060,Catégorie 2060,Catégorie 2060
315,587640234,40,0.92021388,40,Catégorie 40,Catégorie 40
316,1223582839,1560,0.98761777,1560,Catégorie 1560,Catégorie 1560
317,1304029599,1300,0.99947407,1300,Catégorie 1300,Catégorie 1300
318,995102714,1560,0.33681872,2583,Catégorie 1560,Piscine et accessoires
319,1158121288,2583,0.93125091,2583,Piscine et accessoires,Piscine et accessoires
320,1120437410,1160,0.99962549,1160,Catégorie 1160,Catégorie 1160
321,1131804483,2522,0.23117581,2522,Fournitures papeterie,Fournitures papeterie
322,1240993281,2403,0.5787473,2403,Lots livres et magazines,Lots livres et magazines
323,858622977,2705,0.36514895,2280,Livres neufs,Catégorie 2280
324,862580398,2522,0.99206367,2522,Fournitures papeterie,Fournitures papeterie
325,1065446271,2705,0.97440723,2705,Livres neufs,Livres neufs
326,1257233893,2060,0.60148261,2060,Catégorie 2060,Catégorie 2060
327,1144313004,2522,0.93516796,2522,Fournitures papeterie,Fournitures papeterie
328,1026147101,1140,0.94351045,1140,Catégorie 1140,Catégorie 1140
329,1109423790,2585,0.67575205,2585,Outillage de jardin,Outillage de jardin
330,1191144167,1560,0.84949301,1560,Catégorie 1560,Catégorie 1560
331,1109239042,2583,0.99930908,2583,Piscine et accessoires,Piscine et accessoires
332,1123815783,2705,0.99640026,2705,Livres neufs,Livres neufs
333,1046140130,2280,0.54879998,2403,Catégorie 2280,Lots livres et magazines
334,757081497,10,0.49928755,40,Catégorie 10,Catégorie 40
335,1255761203,1920,0.99887824,1920,Catégorie 1920,Catégorie 1920
336,941678458,2583,0.99888383,2583,Piscine et accessoires,Piscine et accessoires
337,1128350148,2705,0.50773315,2403,Livres neufs,Lots livres et magazines
338,1258615799,1302,0.83024202,1280,Jeux et accessoires de plein air,Catégorie 1280
339,1278861300,1320,0.98344425,1320,Catégorie 1320,Catégorie 1320
340,1321887696,1560,0.5410158,2582,Catégorie 1560,Mobilier et accessoires de jardin
341,876261633,10,0.18060235,2280,Catégorie 10,Catégorie 2280
342,1120188407,2583,0.9899645,2583,Piscine et accessoires,Piscine et accessoires
343,1304091947,2522,0.99903609,2522,Fournitures papeterie,Fournitures papeterie
344,1298038010,2220,0.99998279,2220,Catégorie 2220,Catégorie 2220
345,1273766117,1920,0.99280983,1920,Catégorie 1920,Catégorie 1920
346,1026033977,2522,0.99826575,2522,Fournitures papeterie,Fournitures papeterie
347,1225886460,2583,0.97524184,2583,Piscine et accessoires,Piscine et accessoires
348,1008006913,2280,0.91665072,2280,Catégorie 2280,Catégorie 2280
349,1260499611,1560,0.44342835,1560,Catégorie 1560,Catégorie 1560
350,1099079539,1920,0.77558121,1920,Catégorie 1920,Catégorie 1920
351,1089461994,1560,0.94183599,1560,Catégorie 1560,Catégorie 1560
352,1311318989,2060,0.57687247,1280,Catégorie 2060,Catégorie 1280
353,1299324515,10,0.58536606,10,Catégorie 10,Catégorie 10
354,1299826670,1560,0.9032917,1560,Catégorie 1560,Catégorie 1560
355,1281058968,1281,0.57632182,2403,Jeux enfant,Lots livres et magazines
356,1289801485,1300,0.99932203,1300,Catégorie 1300,Catégorie 1300
357,1242019834,2583,0.98245304,2583,Piscine et accessoires,Piscine et accessoires
358,717853644,40,0.26746179,1160,Catégorie 40,Catégorie 1160
359,1188538915,2583,0.99667433,2583,Piscine et accessoires,Piscine et accessoires
360,1304082194,2522,0.9989556,2522,Fournitures papeterie,Fournitures papeterie
361,980304626,2583,0.91761649,2583,Piscine et accessoires,Piscine et accessoires
362,948580134,40,0.73702559,40,Catégorie 40,Catégorie 40
363,1190252043,2583,0.98488515,2583,Piscine et accessoires,Piscine et accessoires
364,1168889313,1320,0.92197797,1320,Catégorie 1320,Catégorie 1320
365,1301843440,1280,0.65970766,1180,Catégorie 1280,Catégorie 1180
366,1247693430,1560,0.93240478,1560,Catégorie 1560,Catégorie 1560
367,1301172218,2522,0.9996682,2522,Fournitures papeterie,Fournitures papeterie
368,1279462864,2583,0.99999978,2583,Piscine et accessoires,Piscine et accessoires
369,1237400663,2705,0.32298838,2705,Livres neufs,Livres neufs
